enterprise_id,segment,sector,years_in_operation,is_ntc,is_ntb,gst_registered,gst_filing_consistency_pct,gst_turnover_growth_rate,gst_avg_monthly_turnover_inr,gst_late_filing_count_12m,upi_available,upi_monthly_txn_count,upi_avg_inflow_inr,upi_inflow_volatility,upi_bounce_rate_pct,aa_consent_given,aa_avg_bank_balance_inr,aa_trade_payable_days,aa_cash_flow_ratio,aa_emi_to_inflow_ratio,aa_overdraft_utilization_pct,epfo_registered,epfo_employee_count,epfo_contribution_consistency_pct,epfo_avg_wage_inr,epfo_employee_growth_rate,default_flag,gst_score,upi_score,aa_score,epfo_score,overall_health_score,risk_tier
MSME106350,Small,Manufacturing,1.4,0,0,0,,,,,1,12.0,27500.0,0.489,15.54,1,9600.0,86.2,0.24,0.415,66.2,0,,,,,0,,39.6,39.9,,39.8,High Risk
MSME106351,Small,Construction,7.5,0,0,1,72.6,0.05,304000.0,0.0,1,85.0,208900.0,0.263,12.18,0,,,,,,0,,,,,1,66.8,49.6,,,59.0,Moderate Risk
MSME106352,Small,Services,8.1,0,0,1,69.4,8.21,337700.0,3.0,1,106.0,255700.0,0.3,2.75,1,79300.0,58.2,0.59,0.292,12.6,0,,,,,0,60.2,57.2,61.4,,59.7,Moderate Risk
MSME106353,Micro,Services,14.1,0,0,1,73.9,-14.59,51300.0,0.0,1,8.0,26500.0,0.068,3.63,1,28900.0,39.7,1.1,0.306,25.4,0,,,,,0,63.1,60.7,65.5,,63.2,Low Risk
MSME106354,Micro,Manufacturing,0.8,0,0,0,,,,,1,23.0,42500.0,0.287,9.05,0,,,,,,0,,,,,0,,50.6,,,50.6,Moderate Risk
MSME106355,Micro,Trading/Retail,10.4,0,0,0,,,,,1,14.0,32400.0,0.02,5.46,1,9700.0,52.4,1.3,0.287,38.5,0,,,,,0,,60.4,62.7,,61.7,Low Risk
MSME106356,Micro,Trading/Retail,5.0,0,0,1,53.5,-13.36,40200.0,4.0,1,12.0,28300.0,0.391,8.85,1,17800.0,72.7,0.46,0.385,43.5,0,,,,,0,43.2,47.9,49.3,,46.7,Moderate Risk
MSME106357,Medium,Trading/Retail,16.6,0,0,0,,,,,0,,,,,1,29900.0,30.1,1.05,0.38,24.5,1,101.0,82.3,13400.0,8.06,0,,,65.0,58.5,62.8,Low Risk
MSME106358,Micro,Trading/Retail,9.9,0,0,1,40.2,11.46,41800.0,1.0,1,10.0,22000.0,0.346,7.52,1,10200.0,66.6,0.85,0.401,38.4,0,,,,,0,51.5,50.2,53.8,,51.9,Moderate Risk
MSME106359,Micro,Trading/Retail,6.2,0,1,1,38.1,-1.24,33100.0,3.0,1,12.0,18600.0,0.405,11.71,0,,,,,,0,,,,,0,41.7,45.1,,,43.2,Moderate Risk
MSME106360,Micro,Services,2.6,1,0,1,9.4,12.01,28500.0,2.0,1,6.0,15500.0,0.444,11.09,0,,,,,,0,,,,,0,33.8,44.5,,,38.7,High Risk
MSME106361,Small,Services,5.4,0,0,1,61.4,1.42,319400.0,2.0,1,93.0,163400.0,0.477,5.8,1,116000.0,49.4,0.68,0.336,45.4,0,,,,,0,56.6,49.9,55.9,,54.4,Moderate Risk
MSME106362,Micro,Trading/Retail,12.2,0,1,1,8.9,9.79,29200.0,5.0,0,,,,,1,11100.0,66.4,0.79,0.578,57.9,0,,,,,1,25.4,,44.8,,35.1,High Risk
MSME106363,Micro,Services,5.5,0,1,1,72.8,-7.94,56500.0,2.0,1,20.0,43000.0,0.315,2.57,1,15100.0,31.6,0.94,0.336,29.2,0,,,,,0,59.5,55.5,64.1,,59.9,Moderate Risk
MSME106364,Small,Trading/Retail,5.3,0,0,1,45.6,7.02,212900.0,4.0,1,40.0,97200.0,0.177,9.31,0,,,,,,1,21.0,69.4,14200.0,-9.3,0,45.4,53.5,,44.3,48.1,Moderate Risk
MSME106365,Micro,Manufacturing,5.6,0,1,0,,,,,1,9.0,32800.0,0.37,5.94,1,16900.0,20.8,1.22,0.243,32.1,0,,,,,0,,51.0,70.0,,61.4,Low Risk
MSME106366,Micro,IT/ITES,3.5,0,1,0,,,,,0,,,,,1,15000.0,95.0,-0.24,0.531,66.7,0,,,,,0,,,31.6,,31.6,High Risk
MSME106367,Micro,Services,2.3,1,1,1,7.8,18.82,23500.0,3.0,1,6.0,8900.0,0.475,17.07,1,6200.0,91.8,0.15,0.544,78.7,1,6.0,7.0,18600.0,-0.13,0,32.5,38.5,32.3,19.1,31.9,High Risk
MSME106368,Micro,Trading/Retail,2.7,1,0,1,7.6,-4.4,27000.0,7.0,1,4.0,12200.0,0.685,19.77,0,,,,,,0,,,,,1,15.5,30.8,,,22.5,High Risk
MSME106369,Small,Manufacturing,6.0,0,1,1,76.0,3.17,259600.0,1.0,1,80.0,180200.0,0.205,9.05,0,,,,,,1,20.0,60.2,16200.0,-3.77,0,67.0,53.7,,43.1,57.1,Moderate Risk
MSME106370,Small,Food Processing,10.8,0,0,1,60.8,-0.07,484300.0,1.0,1,146.0,318000.0,0.165,5.13,1,116500.0,25.6,1.03,0.261,25.9,0,,,,,0,58.4,59.3,68.5,,62.2,Low Risk
MSME106371,Micro,Trading/Retail,6.6,0,1,0,,,,,1,15.0,40100.0,0.177,8.25,0,,,,,,0,,,,,0,,54.0,,,54.0,Moderate Risk
MSME106372,Medium,IT/ITES,12.4,0,0,1,98.8,3.41,2882000.0,0.0,1,979.0,1914900.0,0.113,5.9,0,,,,,,0,,,,,0,80.9,74.6,,,78.0,Low Risk
MSME106373,Small,Manufacturing,14.7,0,0,0,,,,,0,,,,,0,,,,,,1,24.0,41.3,16800.0,3.53,0,,,,37.2,37.2,High Risk
MSME106374,Micro,Trading/Retail,20.2,0,0,1,85.1,5.38,41000.0,4.0,1,14.0,30800.0,0.414,11.2,1,12800.0,36.6,1.03,0.179,42.5,0,,,,,0,64.7,45.3,65.5,,59.3,Moderate Risk
MSME106375,Micro,Services,19.0,0,1,1,96.7,-4.59,61300.0,2.0,1,18.0,49700.0,0.231,5.71,0,,,,,,0,,,,,0,72.5,54.9,,,64.5,Low Risk
MSME106376,Micro,Food Processing,1.6,0,1,0,,,,,1,9.0,24500.0,0.518,14.98,0,,,,,,0,,,,,0,,39.3,,,39.3,High Risk
MSME106377,Small,Services,8.6,0,0,1,71.8,15.04,351600.0,4.0,0,,,,,1,150800.0,42.0,0.4,0.148,22.8,0,,,,,0,60.9,,64.6,,62.8,Low Risk
MSME106378,Micro,Agriculture & Allied,4.0,0,1,1,12.1,-3.57,33200.0,4.0,1,5.0,19100.0,0.66,12.59,0,,,,,,0,,,,,0,25.5,37.7,,,31.0,High Risk
MSME106379,Micro,Agriculture & Allied,2.8,0,0,0,,,,,1,12.0,17000.0,0.325,16.81,0,,,,,,0,,,,,0,,42.7,,,42.7,Moderate Risk
MSME106380,Small,Trading/Retail,4.7,0,0,0,,,,,0,,,,,1,13800.0,90.5,-0.6,0.658,69.2,0,,,,,0,,,25.8,,25.8,High Risk
MSME106381,Small,Trading/Retail,15.8,0,0,1,79.4,-0.27,267000.0,3.0,0,,,,,1,151600.0,63.1,1.42,0.07,12.7,0,,,,,0,62.6,,72.7,,67.6,Low Risk
MSME106382,Small,Manufacturing,12.3,0,1,1,97.0,-2.19,284000.0,2.0,1,106.0,221600.0,0.209,1.84,1,195000.0,34.7,1.09,0.218,15.5,0,,,,,0,73.3,60.4,70.6,,68.6,Low Risk
MSME106383,Small,Services,6.0,0,0,0,,,,,1,8.0,27100.0,0.46,14.08,1,22000.0,70.8,0.28,0.484,52.7,1,20.0,60.4,13300.0,-7.5,0,,41.5,43.7,40.3,42.2,Moderate Risk
MSME106384,Micro,Services,9.6,0,0,1,72.6,-7.89,49200.0,2.0,1,22.0,27900.0,0.307,3.18,1,24400.0,56.8,1.24,0.301,61.5,0,,,,,0,59.4,55.2,56.5,,57.1,Moderate Risk
MSME106385,Small,Manufacturing,7.7,0,1,0,,,,,1,10.0,40400.0,0.308,9.99,1,22400.0,51.9,1.0,0.254,29.1,0,,,,,0,,49.0,63.3,,56.8,Moderate Risk
MSME106386,Micro,IT/ITES,4.7,0,0,0,,,,,1,11.0,31000.0,0.429,11.96,0,,,,,,0,,,,,0,,44.2,,,44.2,Moderate Risk
MSME106387,Micro,Manufacturing,3.1,0,0,1,22.9,-0.67,51200.0,4.0,1,11.0,25400.0,0.264,8.33,0,,,,,,0,,,,,0,31.7,51.6,,,40.7,Moderate Risk
MSME106388,Medium,Textile,5.4,0,0,1,82.5,5.53,2692300.0,4.0,0,,,,,1,735400.0,60.9,1.53,0.171,28.0,1,103.0,55.0,14200.0,4.6,0,63.4,,68.2,43.5,61.3,Low Risk
MSME106389,Micro,Textile,10.0,0,0,1,25.6,4.83,46700.0,3.0,1,17.0,26900.0,0.205,9.84,0,,,,,,0,,,,,0,37.2,51.9,,,43.9,Moderate Risk
MSME106390,Micro,Trading/Retail,17.1,0,0,1,82.7,-5.95,49700.0,1.0,1,17.0,45200.0,0.091,0.18,0,,,,,,0,,,,,0,67.6,63.2,,,65.6,Low Risk
MSME106391,Small,Trading/Retail,8.6,0,0,1,49.3,-16.68,249300.0,5.0,1,64.0,144900.0,0.196,7.88,1,119700.0,57.4,1.04,0.487,31.1,0,,,,,0,37.6,54.7,56.0,,49.1,Moderate Risk
MSME106392,Micro,Trading/Retail,3.7,1,0,0,,,,,0,,,,,0,,,,,,1,4.0,31.4,18600.0,-4.07,1,,,,29.4,29.4,High Risk
MSME106393,Micro,Agriculture & Allied,2.5,1,1,0,,,,,1,4.0,19900.0,0.643,14.14,1,9300.0,102.4,-0.14,0.531,74.4,0,,,,,1,,36.8,29.5,,32.8,High Risk
MSME106394,Micro,Manufacturing,7.5,0,0,1,53.8,10.55,50500.0,4.0,1,18.0,36500.0,0.238,4.11,0,,,,,,0,,,,,0,50.6,56.1,,,53.1,Moderate Risk
MSME106395,Small,Textile,0.8,0,1,1,67.5,-11.76,367300.0,5.0,1,95.0,222100.0,0.541,4.26,0,,,,,,1,18.0,70.7,14900.0,13.57,0,48.2,49.6,,55.8,50.3,Moderate Risk
MSME106396,Small,Services,28.1,0,1,1,97.4,2.89,287600.0,1.0,1,88.0,216000.0,0.136,6.47,1,105600.0,32.8,1.81,0.119,19.9,1,27.0,92.5,18200.0,9.56,0,77.6,57.8,78.1,66.1,71.1,Low Risk
MSME106397,Micro,Services,8.5,0,0,0,,,,,1,5.0,22000.0,0.214,12.69,1,8500.0,76.1,0.68,0.396,48.7,0,,,,,0,,49.0,49.0,,49.0,Moderate Risk
MSME106398,Micro,Agriculture & Allied,14.0,0,0,1,75.1,-18.28,53600.0,1.0,1,23.0,30600.0,0.141,6.0,1,31100.0,32.7,1.55,0.214,32.6,0,,,,,0,60.1,57.0,71.1,,63.1,Low Risk
MSME106399,Small,Services,11.7,0,0,1,80.9,22.51,288500.0,0.0,1,103.0,248800.0,0.271,7.13,0,,,,,,1,29.0,61.1,10900.0,7.64,0,77.7,54.1,,46.7,62.6,Low Risk
MSME106400,Micro,Construction,8.4,0,0,1,15.7,-5.91,38400.0,8.0,1,3.0,22400.0,0.604,15.52,1,8000.0,81.4,0.38,0.594,61.1,0,,,,,1,16.6,36.6,38.0,,30.0,High Risk
MSME106401,Micro,Manufacturing,8.0,0,0,1,63.8,2.13,35100.0,2.0,1,7.0,15600.0,0.526,9.78,1,10400.0,68.9,1.54,0.405,38.7,1,7.0,23.7,12800.0,-3.33,0,58.0,43.6,58.4,23.7,49.4,Moderate Risk
MSME106402,Micro,Trading/Retail,10.4,0,1,1,5.6,5.7,37400.0,5.0,0,,,,,0,,,,,,1,2.0,13.0,11500.0,1.8,0,22.5,,,20.2,21.7,High Risk
MSME106403,Micro,Trading/Retail,4.4,0,1,0,,,,,0,,,,,1,12200.0,81.5,0.18,0.65,67.8,1,4.0,26.3,15400.0,-9.03,0,,,33.7,23.4,30.3,High Risk
MSME106404,Micro,Trading/Retail,6.1,0,0,1,46.1,-1.71,38900.0,3.0,0,,,,,1,7100.0,87.1,0.69,0.535,57.2,0,,,,,0,45.5,,41.7,,43.6,Moderate Risk
MSME106405,Small,Construction,10.9,0,0,0,,,,,1,13.0,34500.0,0.38,5.89,1,10800.0,37.4,1.01,0.258,25.6,0,,,,,0,,50.8,66.5,,59.4,Moderate Risk
MSME106406,Medium,Manufacturing,1.6,0,1,1,52.1,-4.92,2153300.0,6.0,0,,,,,1,681400.0,68.3,0.42,0.512,48.1,0,,,,,0,40.1,,45.4,,42.8,Moderate Risk
MSME106407,Micro,Services,5.9,0,0,1,92.8,0.31,45200.0,0.0,1,10.0,24500.0,0.111,2.63,0,,,,,,0,,,,,0,77.0,60.5,,,69.5,Low Risk
MSME106408,Small,Trading/Retail,5.4,1,0,0,,,,,1,7.0,23400.0,0.356,11.93,1,23500.0,76.8,0.94,0.473,61.8,0,,,,,0,,46.1,46.1,,46.1,Moderate Risk
MSME106409,Micro,Food Processing,0.8,1,0,0,,,,,1,11.0,21300.0,0.729,18.42,1,11800.0,101.5,-0.03,0.638,88.2,0,,,,,1,,31.0,24.9,,27.7,High Risk
MSME106410,Micro,Textile,9.0,0,0,1,65.6,-4.04,48400.0,2.0,1,21.0,31700.0,0.357,2.76,0,,,,,,0,,,,,0,57.1,54.3,,,55.8,Moderate Risk
MSME106411,Small,Food Processing,7.0,0,0,1,61.8,-8.58,285700.0,6.0,0,,,,,1,155200.0,57.0,0.31,0.472,40.1,0,,,,,0,43.8,,49.2,,46.5,Moderate Risk
MSME106412,Micro,IT/ITES,5.9,0,1,0,,,,,1,16.0,32100.0,0.548,4.7,1,15700.0,72.4,0.97,0.478,49.3,1,3.0,46.0,12600.0,-11.73,0,,47.7,49.5,30.9,44.9,Moderate Risk
MSME106413,Medium,Trading/Retail,12.3,0,1,1,77.5,2.85,2753200.0,1.0,1,861.0,2028100.0,0.177,6.92,1,1978200.0,37.9,1.35,0.288,27.9,0,,,,,0,67.6,70.0,67.7,,68.3,Low Risk
MSME106414,Micro,Trading/Retail,11.0,0,1,1,58.8,-6.17,34500.0,3.0,1,5.0,27900.0,0.173,2.66,1,7100.0,62.3,1.25,0.308,31.1,0,,,,,0,50.5,58.8,61.5,,56.8,Moderate Risk
MSME106415,Micro,Services,11.6,0,0,0,,,,,1,13.0,28000.0,0.362,10.23,0,,,,,,0,,,,,1,,47.5,,,47.5,Moderate Risk
MSME106416,Micro,Manufacturing,5.4,1,1,1,28.9,1.24,37800.0,5.0,1,6.0,20100.0,0.235,11.49,0,,,,,,1,6.0,5.0,12800.0,12.28,1,32.8,49.5,,21.6,36.4,High Risk
MSME106417,Micro,Food Processing,4.3,0,1,1,77.6,-0.72,42700.0,3.0,1,13.0,25100.0,0.273,3.1,1,25700.0,70.9,0.67,0.31,32.3,0,,,,,1,61.6,56.0,55.4,,57.8,Moderate Risk
MSME106418,Small,Construction,6.9,0,0,0,,,,,1,12.0,31100.0,0.434,6.81,1,15900.0,72.2,0.4,0.481,39.0,0,,,,,0,,48.6,47.2,,47.8,Moderate Risk
MSME106419,Small,Trading/Retail,8.3,0,0,1,41.5,6.65,280800.0,5.0,1,63.0,111700.0,0.433,10.29,0,,,,,,1,18.0,42.4,10600.0,2.57,0,40.7,46.5,,34.9,41.5,Moderate Risk
MSME106420,Micro,Agriculture & Allied,9.9,1,0,1,32.8,-10.95,48500.0,3.0,1,3.0,21900.0,0.168,9.9,0,,,,,,0,,,,,0,36.1,52.6,,,43.6,Moderate Risk
MSME106421,Micro,Trading/Retail,2.8,1,0,1,5.0,-0.59,30800.0,4.0,0,,,,,1,4100.0,109.2,0.1,0.699,60.5,0,,,,,0,22.8,,28.4,,25.6,High Risk
MSME106422,Small,Food Processing,7.9,0,1,0,,,,,0,,,,,0,,,,,,1,25.0,55.5,16200.0,-0.76,0,,,,42.1,42.1,Moderate Risk
MSME106423,Small,Manufacturing,13.3,0,0,1,29.8,-8.51,230800.0,0.0,1,73.0,169900.0,0.322,6.53,1,42100.0,53.4,0.85,0.219,42.9,0,,,,,0,42.8,52.8,60.1,,51.8,Moderate Risk
MSME106424,Micro,Food Processing,3.1,1,1,1,14.8,-0.03,30500.0,5.0,1,6.0,17700.0,0.556,9.83,0,,,,,,0,,,,,0,25.4,42.8,,,33.3,High Risk
MSME106425,Micro,Trading/Retail,0.7,1,0,1,5.0,-4.32,31600.0,3.0,1,5.0,12400.0,0.389,10.54,0,,,,,,0,,,,,1,24.2,46.4,,,34.3,High Risk
MSME106426,Micro,Agriculture & Allied,0.3,0,0,1,22.3,5.21,34700.0,4.0,1,7.0,18800.0,0.421,14.08,1,9500.0,87.9,0.69,0.549,52.2,0,,,,,0,33.2,42.5,42.2,,39.1,High Risk
MSME106427,Micro,Agriculture & Allied,4.3,0,1,0,,,,,1,16.0,25200.0,0.263,4.77,1,26600.0,65.7,0.64,0.533,30.5,0,,,,,0,,54.8,50.4,,52.4,Moderate Risk
MSME106428,Micro,Services,2.3,0,1,0,,,,,1,9.0,28700.0,0.325,10.45,0,,,,,,0,,,,,0,,48.2,,,48.2,Moderate Risk
MSME106429,Micro,Services,8.7,0,0,0,,,,,1,10.0,19600.0,0.663,8.28,1,13700.0,70.8,0.69,0.514,51.2,0,,,,,0,,41.5,46.3,,44.1,Moderate Risk
MSME106430,Micro,Food Processing,7.7,0,0,0,,,,,1,8.0,33600.0,0.308,13.97,0,,,,,,0,,,,,0,,45.5,,,45.5,Moderate Risk
MSME106431,Micro,Services,1.0,1,0,0,,,,,1,15.0,25600.0,0.618,16.53,0,,,,,,0,,,,,1,,35.5,,,35.5,High Risk
MSME106432,Micro,Services,12.9,0,0,1,75.9,8.59,40300.0,2.0,1,16.0,22000.0,0.02,0.53,0,,,,,,1,5.0,46.8,18800.0,8.54,0,66.0,64.7,,43.0,60.6,Low Risk
MSME106433,Small,Services,3.4,0,1,1,39.6,1.51,245900.0,4.0,0,,,,,0,,,,,,1,24.0,67.1,11900.0,-1.49,0,40.8,,,45.9,42.5,Moderate Risk
MSME106434,Micro,Textile,2.6,1,1,0,,,,,1,12.0,24500.0,0.32,13.77,1,10300.0,96.0,0.25,0.674,67.7,0,,,,,1,,45.4,31.1,,37.6,High Risk
MSME106435,Micro,Food Processing,7.4,0,0,1,60.7,-9.07,48300.0,3.0,1,14.0,34400.0,0.029,10.49,0,,,,,,0,,,,,0,50.6,55.8,,,53.0,Moderate Risk
MSME106436,Micro,Trading/Retail,4.0,0,0,1,42.0,4.82,41700.0,3.0,1,8.0,21300.0,0.406,12.98,0,,,,,,0,,,,,0,45.4,43.9,,,44.7,Moderate Risk
MSME106437,Micro,Agriculture & Allied,6.9,0,0,1,54.4,-5.39,36200.0,5.0,1,7.0,25100.0,0.429,11.4,0,,,,,,0,,,,,0,43.6,44.7,,,44.1,Moderate Risk
MSME106438,Small,Trading/Retail,5.2,0,1,1,56.4,-5.27,362100.0,1.0,1,92.0,258200.0,0.396,4.78,0,,,,,,0,,,,,0,54.6,52.8,,,53.8,Moderate Risk
MSME106439,Micro,Trading/Retail,14.0,0,0,1,34.9,0.16,52200.0,0.0,1,17.0,40200.0,0.283,6.7,1,16900.0,56.0,1.06,0.354,38.9,0,,,,,0,48.0,52.7,58.4,,53.1,Moderate Risk
MSME106440,Micro,IT/ITES,7.0,0,1,0,,,,,1,15.0,28400.0,0.209,8.19,1,15600.0,56.5,0.85,0.238,40.5,0,,,,,0,,53.2,59.5,,56.6,Moderate Risk
MSME106441,Small,Trading/Retail,4.8,0,0,0,,,,,1,15.0,32000.0,0.412,9.56,1,16800.0,80.1,0.2,0.598,50.0,0,,,,,0,,46.8,39.0,,42.5,Moderate Risk
MSME106442,Small,Trading/Retail,5.8,1,0,1,36.5,2.23,277900.0,2.0,0,,,,,0,,,,,,0,,,,,0,44.4,,,,44.4,Moderate Risk
MSME106443,Small,Services,12.0,0,0,1,82.9,6.07,424900.0,1.0,1,128.0,384700.0,0.394,4.27,1,129200.0,29.8,2.1,0.124,18.1,0,,,,,0,71.3,53.9,81.1,,69.6,Low Risk
MSME106444,Micro,Textile,2.8,0,0,1,43.6,-3.3,33100.0,6.0,1,6.0,22400.0,0.389,12.72,1,12400.0,69.0,0.84,0.401,49.7,0,,,,,0,36.3,44.5,51.1,,43.9,Moderate Risk
MSME106445,Micro,Trading/Retail,9.1,0,1,0,,,,,1,12.0,36400.0,0.238,6.35,1,16000.0,34.7,-0.01,0.158,36.3,1,5.0,48.8,12900.0,-3.39,0,,54.0,59.8,36.3,52.7,Moderate Risk
MSME106446,Small,Services,6.0,0,0,1,62.8,-2.22,197000.0,2.0,1,42.0,76200.0,0.596,13.69,1,43500.0,78.3,-0.04,0.536,57.3,0,,,,,0,56.2,39.0,37.7,,44.6,Moderate Risk
MSME106447,Micro,Trading/Retail,6.2,1,1,1,5.0,1.12,30000.0,8.0,1,8.0,14800.0,0.515,13.92,1,11600.0,80.5,-0.08,0.488,65.1,1,1.0,48.3,13700.0,-2.3,0,13.3,40.3,36.8,36.8,30.6,High Risk
MSME106448,Small,Manufacturing,2.3,0,1,0,,,,,0,,,,,1,5700.0,109.3,-0.05,0.632,77.0,1,10.0,17.4,14300.0,6.31,1,,,25.8,25.6,25.7,High Risk
MSME106449,Small,Manufacturing,4.3,0,1,1,80.4,-7.43,306100.0,1.0,1,70.0,223900.0,0.308,3.77,0,,,,,,1,23.0,63.8,13200.0,-4.75,0,66.0,55.5,,43.2,57.4,Moderate Risk
MSME106450,Micro,Trading/Retail,3.6,0,1,1,61.2,10.02,38600.0,5.0,1,7.0,23800.0,0.401,5.03,1,15800.0,68.6,0.95,0.364,37.0,1,5.0,37.5,14300.0,-0.82,0,51.6,50.9,55.5,32.3,49.7,Moderate Risk
MSME106451,Micro,Agriculture & Allied,6.0,0,1,0,,,,,1,5.0,28400.0,0.313,12.24,1,12000.0,73.8,0.08,0.523,62.4,0,,,,,0,,46.8,38.7,,42.4,Moderate Risk
MSME106452,Micro,Food Processing,1.6,0,0,0,,,,,1,7.0,26400.0,0.428,10.24,0,,,,,,0,,,,,0,,45.7,,,45.7,Moderate Risk
MSME106453,Micro,Textile,0.7,1,1,0,,,,,1,8.0,17800.0,0.596,11.34,0,,,,,,0,,,,,0,,40.5,,,40.5,Moderate Risk
MSME106454,Small,Agriculture & Allied,4.0,0,0,0,,,,,1,11.0,28300.0,0.549,10.02,1,18000.0,84.4,-0.17,0.334,50.8,0,,,,,0,,42.9,42.4,,42.6,Moderate Risk
MSME106455,Small,Agriculture & Allied,12.1,0,1,1,74.1,3.63,369100.0,2.0,1,103.0,262200.0,0.095,6.31,0,,,,,,0,,,,,0,63.6,59.3,,,61.6,Low Risk
MSME106456,Micro,Construction,8.5,0,0,1,27.5,-0.86,29000.0,6.0,1,3.0,14000.0,0.312,12.47,0,,,,,,0,,,,,0,29.0,46.7,,,37.0,High Risk
MSME106457,Small,Manufacturing,5.5,0,0,0,,,,,1,10.0,34800.0,0.036,7.29,1,15000.0,53.4,1.09,0.299,32.7,1,26.0,72.9,16800.0,-2.89,0,,58.3,61.8,50.0,58.0,Moderate Risk
MSME106458,Micro,Textile,2.5,1,1,1,5.0,-1.94,30500.0,3.0,0,,,,,0,,,,,,0,,,,,0,24.9,,,,24.9,High Risk
MSME106459,Small,Services,0.3,1,1,0,,,,,1,1.0,19900.0,0.487,19.34,0,,,,,,0,,,,,1,,36.2,,,36.2,High Risk
MSME106460,Micro,Manufacturing,3.3,0,1,0,,,,,1,10.0,22800.0,0.588,15.98,1,18600.0,89.0,-0.14,0.647,70.2,0,,,,,1,,36.7,29.6,,32.8,High Risk
MSME106461,Small,Manufacturing,4.9,0,1,1,13.4,9.79,368000.0,3.0,1,82.0,231500.0,0.181,5.58,0,,,,,,0,,,,,0,32.6,57.4,,,43.9,Moderate Risk
MSME106462,Small,Manufacturing,2.1,1,1,1,34.0,-4.6,423000.0,1.0,0,,,,,0,,,,,,0,,,,,0,43.6,,,,43.6,Moderate Risk
MSME106463,Micro,Services,8.0,0,1,1,51.0,-4.43,36500.0,3.0,1,7.0,25300.0,0.435,13.06,1,8100.0,60.0,0.89,0.425,52.1,1,8.0,39.6,11800.0,8.85,0,47.2,43.1,51.9,36.9,46.0,Moderate Risk
MSME106464,Micro,Construction,7.9,0,0,1,16.4,7.86,25000.0,4.0,1,4.0,15200.0,0.343,11.27,1,10500.0,88.1,0.1,0.449,68.9,0,,,,,1,31.1,46.9,37.1,,37.9,High Risk
MSME106465,Small,Services,3.9,1,0,0,,,,,0,,,,,1,9200.0,61.6,0.82,0.36,33.1,0,,,,,0,,,56.6,,56.6,Moderate Risk
MSME106466,Micro,Manufacturing,5.2,0,1,0,,,,,1,12.0,18900.0,0.608,19.81,0,,,,,,0,,,,,1,,32.8,,,32.8,High Risk
MSME106467,Small,Trading/Retail,5.1,0,0,0,,,,,1,15.0,35100.0,0.155,2.86,0,,,,,,1,19.0,89.1,13900.0,-8.13,0,,59.2,,54.6,57.5,Moderate Risk
MSME106468,Medium,Textile,7.5,0,0,0,,,,,1,25.0,42800.0,0.227,6.6,1,22100.0,40.9,0.52,0.31,35.2,1,116.0,80.3,14100.0,14.92,0,,54.3,58.9,60.9,57.7,Moderate Risk
MSME106469,Small,Manufacturing,2.7,0,1,0,,,,,0,,,,,0,,,,,,1,16.0,19.3,13100.0,2.45,0,,,,24.3,24.3,High Risk
MSME106470,Micro,Services,26.6,0,0,1,97.9,-2.85,51300.0,1.0,1,18.0,33900.0,0.133,0.0,1,18700.0,5.0,1.54,0.147,18.1,0,,,,,0,76.1,62.4,80.5,,73.6,Low Risk
MSME106471,Micro,Construction,1.6,0,0,1,25.9,-2.17,29700.0,2.0,1,4.0,13300.0,0.42,14.43,1,10200.0,76.7,0.94,0.38,60.7,0,,,,,0,37.8,42.2,48.9,,43.0,Moderate Risk
MSME106472,Medium,Textile,2.8,0,0,1,60.5,7.69,2261900.0,0.0,0,,,,,1,666200.0,69.3,0.4,0.457,58.4,1,110.0,34.3,16400.0,-2.75,0,63.1,,44.5,30.6,49.2,Moderate Risk
MSME106473,Micro,Services,6.7,0,0,1,32.5,10.67,46600.0,4.0,0,,,,,1,12900.0,44.9,1.14,0.299,29.0,0,,,,,0,40.0,,64.4,,52.2,Moderate Risk
MSME106474,Micro,Food Processing,17.3,0,1,1,71.1,-10.35,44600.0,1.0,1,14.0,26600.0,0.277,9.06,0,,,,,,1,9.0,58.3,14700.0,-4.83,0,60.4,50.7,,41.0,52.8,Moderate Risk
MSME106475,Micro,Trading/Retail,3.7,0,0,1,45.8,-5.75,30400.0,2.0,0,,,,,0,,,,,,0,,,,,0,46.7,,,,46.7,Moderate Risk
MSME106476,Small,Agriculture & Allied,2.4,1,1,0,,,,,1,8.0,30500.0,0.421,17.2,1,19800.0,73.2,0.46,0.477,55.5,1,26.0,22.1,14600.0,9.27,0,,39.8,44.3,29.4,39.5,High Risk
MSME106477,Micro,Services,4.6,0,0,1,48.4,9.54,34100.0,2.0,1,9.0,17100.0,0.532,3.79,0,,,,,,0,,,,,0,52.6,48.7,,,50.8,Moderate Risk
MSME106478,Micro,Construction,9.3,0,1,0,,,,,1,11.0,28300.0,0.583,15.7,0,,,,,,0,,,,,0,,37.1,,,37.1,High Risk
MSME106479,Micro,Trading/Retail,9.6,0,0,0,,,,,1,14.0,28300.0,0.58,13.36,0,,,,,,0,,,,,0,,39.2,,,39.2,High Risk
MSME106480,Small,Food Processing,8.5,0,1,1,25.4,-0.46,213300.0,5.0,0,,,,,1,30100.0,76.8,0.86,0.695,54.3,1,18.0,56.5,16400.0,-7.06,0,30.6,,41.1,39.8,36.6,High Risk
MSME106481,Micro,Manufacturing,18.5,0,0,0,,,,,1,16.0,32400.0,0.559,15.47,1,13000.0,58.3,0.6,0.451,54.1,0,,,,,0,,38.0,48.9,,43.9,Moderate Risk
